id,workout_type,Distance,Duration(min),Calories
167,Freestyle(swimming),8.71,90,609
168,Freestyle(swimming),7.5,100,677
169,Running,2.9,80,915
170,Running,9.87,60,686
171,Running,5.26,75,858
172,Treadmill,2.86,40,163
173,Treadmill,6.62,30,123
174,Treadmill,2.66,30,123
175,Cycling,7.3,100,"1,167"
176,Cycling,7.35,95,"1,108"
177,Cycling,8.59,25,292
178,Cricket,1.97,100,560
179,Cricket,5.41,75,420
180,Cricket,9.7,20,112
181,indoor Cycling,9.77,30,350
182,indoor Cycling,2.2,70,817
183,indoor Cycling,1.5,120,"1,400"
184,Walking,9.47,50,204
185,Walking,8.33,60,245
186,Walking,6.74,100,408
187,Cricket,1.43,25,140
188,Cricket,3.22,40,224
189,Cricket,2.81,90,504
190,Swimming,6.32,60,420
191,Swimming,7.91,90,630
192,Swimming,4.88,70,490
193,Freestyle(swimming),4.92,80,541
194,Freestyle(swimming),2.86,120,812
195,Freestyle(swimming),2.47,90,609
196,Trail Run,5.92,80,915
197,Trail Run,8.99,120,"1,372"
198,Trail Run,6.5,60,686
200,Freestyle(swimming),1.49,30,203
201,Freestyle(swimming),5.77,20,135
202,Freestyle(swimming),4.56,90,609
203,Climb hills,3.5,30,186
204,Racewalk,2.5,15,61
205,Boating,4.5,40,117
206,Marching,6.8,25,131
207,Ice skating,5.7,10,64
208,Paddle boat,4.2,20,93
209,General housework,5.5,60,336
210,Gardening,4.6,50,134
211,Gardening,4.6,100,268
212,Ice skating,5.92,30,193
213,Climb hills,8.28,60,448
214,Paddle boat,3.6,50,233
215,Racewalk,1.4,15,61
216,Marching,7.8,40,210
217,Swimming,6.5,50,350
218,Cycling,3.5,70,817
219,Walking,5.8,60,245
220,Running,7.5,40,457
221,Indoor Cycling,8.5,100,"1,167"
222,Treadmill,4.5,120,490
223,Trail Run,4.8,30,343
224,Freestyle(swimming),7.5,70,474
225,Roller Skate,9.5,90,735
